Archive_Date,Group_ID,waiting_0_3,waiting_12_15,waiting_15_18,waiting_18plus,waiting_3_6,waiting_6_9,waiting_9_12,spec_1,spec_10,spec_11,spec_12,spec_13,spec_14,spec_15,spec_16,spec_17,spec_18,spec_19,spec_2,spec_20,spec_21,spec_22,spec_23,spec_24,spec_25,spec_26,spec_27,spec_28,spec_29,spec_3,spec_30,spec_31,spec_32,spec_33,spec_34,spec_35,spec_36,spec_37,spec_38,spec_39,spec_4,spec_40,spec_41,spec_42,spec_43,spec_44,spec_45,spec_46,spec_47,spec_48,spec_49,spec_5,spec_50,spec_51,spec_52,spec_53,spec_54,spec_55,spec_56,spec_57,spec_58,spec_59,spec_6,spec_60,spec_61,spec_62,spec_63,spec_64,spec_65,spec_66,spec_67,spec_68,spec_69,spec_7,spec_70,spec_71,spec_72,spec_73,spec_74,spec_75,spec_76,spec_77,spec_8,spec_9
2014-05,group_4,0.32164531355360754,0.0667565745111261,0.026298044504383007,0.011463250168577209,0.24477410654079568,0.18745785569790965,0.14160485502360082,1,1,0,10,65,0,11,42,1,45,0,6,82,187,23,130,32,0,0,0,3,0,0,5,0,12,27,0,5,0,8,133,0,14,146,3,120,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,27,34,0,0,49,5,1,2,2,0,34,37,17,0,0,68,22,0,6,0
2014-05,group_5,0.3079340141398272,0.07462686567164178,0.019638648860958365,0.006284367635506678,0.2498036135113904,0.20267085624509035,0.13904163393558522,0,0,0,0,78,0,0,30,0,37,0,6,50,146,16,99,23,0,0,0,7,4,6,0,0,22,46,43,0,0,8,46,0,0,104,24,125,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,21,28,3,0,57,9,0,0,0,0,29,22,3,0,0,83,27,0,0,19
2014-05,group_6,0.2631871182676291,0.09994447529150471,0.06662965019433648,0.036646307606885066,0.2243198223209328,0.1804553026096613,0.12881732370905052,0,5,6,0,105,0,0,38,0,19,0,35,128,189,25,111,23,0,0,14,0,41,0,0,0,53,64,0,1,0,11,83,48,10,209,0,151,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,43,30,0,2,69,0,0,3,0,0,26,44,13,0,0,120,29,0,0,0
2014-05,group_7,0.2920892494929006,0.08823529411764706,0.04563894523326572,0.019269776876267748,0.23427991886409735,0.1881338742393509,0.1323529411764706,2,0,0,0,80,0,26,51,0,64,24,0,102,251,21,108,17,23,0,0,4,15,29,0,0,24,61,29,4,0,8,83,0,22,150,0,143,9,5,0,0,0,0,0,68,0,0,0,0,0,16,3,0,2,0,0,0,29,64,0,0,103,10,1,0,0,0,65,57,28,0,0,90,81,0,0,0
2014-05,group_8,0.3423772609819121,0.082687338501292,0.04521963824289406,0.003875968992248062,0.23901808785529716,0.1834625322997416,0.10335917312661498,0,0,0,4,23,0,0,0,0,19,0,18,59,110,16,65,4,0,0,0,0,35,0,0,0,11,16,0,0,0,3,33,0,0,41,1,84,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0,0,24,0,0,0,0,0,3,56,10,0,0,65,22,0,0,0
2014-06,group_2,0.2917505030181087,0.08853118712273642,0.07042253521126761,0.04627766599597585,0.22937625754527163,0.15090543259557343,0.1227364185110664,0,0,0,12,25,0,3,4,0,0,0,0,11,27,0,4,4,0,0,2,8,9,0,5,5,11,18,1,0,0,0,31,0,4,53,0,42,25,4,17,6,0,6,1,14,0,0,0,0,0,0,0,0,5,4,0,0,19,0,0,0,36,0,0,0,0,4,25,15,10,0,0,25,0,0,2,0
2014-06,group_3,0.2934131736526946,0.0825016633399867,0.041916167664670656,0.03260146373918829,0.2315369261477046,0.18562874251497005,0.1324018629407851,0,18,0,2,50,5,10,32,0,46,0,31,71,173,21,74,36,0,0,6,2,27,0,0,0,24,32,0,0,0,9,51,0,15,141,13,132,11,5,9,0,0,0,0,58,2,0,11,20,0,6,0,0,8,7,9,0,18,17,4,0,33,5,0,2,3,0,19,41,17,0,0,109,59,0,4,5
2014-06,group_4,0.3121349772874757,0.07397793640493186,0.029850746268656716,0.01752109020116807,0.2446463335496431,0.18429591174561974,0.13757300454250487,1,0,0,12,71,0,11,45,2,46,0,7,84,198,23,131,30,0,0,1,3,0,0,5,0,14,22,0,4,0,11,133,0,15,144,6,121,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,32,34,1,0,52,6,1,2,2,0,36,44,20,0,0,72,20,0,6,0
2014-06,group_5,0.3031709203402939,0.07733952049497293,0.02088167053364269,0.0069605568445475635,0.25676720804331016,0.19953596287703015,0.13534416086620263,0,0,0,0,77,0,0,36,0,37,0,7,49,145,15,102,23,0,0,0,6,5,7,0,0,23,50,44,0,0,7,42,0,0,110,24,122,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,21,30,3,0,57,8,2,0,0,0,26,25,9,0,0,81,27,0,0,21
2014-06,group_6,0.2657111356119074,0.0970231532524807,0.06504961411245866,0.040793825799338476,0.21444321940463065,0.1819184123484013,0.1350606394707828,0,4,8,0,111,0,0,38,0,18,0,38,131,185,22,114,25,0,0,12,0,43,0,0,0,53,63,0,2,0,9,82,45,10,201,0,159,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,42,29,0,2,74,0,0,3,0,0,23,45,18,0,0,120,31,0,0,0
